Filename,Format,Size,Created,Modified,Accessed,Parsed Date/Time,Formatted Date
DJI_20231215160828_0110_D_000242.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.472136,2024-12-17 10:59:57,2025-06-28 18:58:38.611243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160306_0109_D_000058.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.908136,2024-12-17 11:00:52,2025-06-28 18:58:38.611243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231217154545_0111_D_000195.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.552136,2024-11-02 16:36:48,2025-06-28 18:58:38.611243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231217154545_0111_D_000121.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.156136,2024-11-02 16:32:22,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215155433_0107_D_000137.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.212136,2024-12-17 11:01:02,2025-06-28 18:58:38.615243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231217154545_0111_D_000323.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:05.112136,2024-11-02 16:42:52,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215154914_0105_D_000090.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.560136,2024-12-17 11:01:13,2025-06-28 18:58:38.615243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231217154545_0111_D_000211.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.664136,2024-11-02 16:37:40,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215154914_0105_D_000096.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.592136,2024-12-17 11:01:12,2025-06-28 18:58:38.615243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215161354_0111_D_000039.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.728136,2024-12-17 11:00:27,2025-06-28 18:58:38.615243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215155433_0107_D_000138.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.220136,2024-12-17 11:00:52,2025-06-28 18:58:38.615243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231217154545_0111_D_000206.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.636136,2024-11-02 16:37:24,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160828_0110_D_000100.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.476136,2024-12-17 11:00:37,2025-06-28 18:58:38.615243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000202.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.164136,2024-12-17 10:59:58,2025-06-28 18:58:38.615243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231217154545_0111_D_000267.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.708136,2024-11-02 16:39:58,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215155242_0106_D_000042.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.088136,2024-12-17 11:01:34,2025-06-28 18:58:38.615243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231217154545_0111_D_000193.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.540136,2024-11-02 16:36:42,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231217154545_0111_D_000177.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.480136,2024-11-02 16:35:48,2025-06-28 18:58:38.615243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160828_0110_D_000020.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.136136,2024-12-17 11:00:45,2025-06-28 18:58:38.619243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231217154545_0111_D_000187.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.504136,2024-11-02 16:36:22,2025-06-28 18:58:38.619243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160828_0110_D_000037.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.224136,2024-12-17 11:00:37,2025-06-28 18:58:38.619243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000125.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.144136,2024-12-17 11:01:02,2025-06-28 18:58:38.619243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160306_0109_D_000046.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.840136,2024-12-17 11:00:59,2025-06-28 18:58:38.619243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215155242_0106_D_000032.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.020136,2024-12-17 11:01:35,2025-06-28 18:58:38.619243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215154914_0105_D_000025.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.148136,2024-12-17 11:01:41,2025-06-28 18:58:38.619243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215154914_0105_D_000016.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.088136,2024-12-17 11:01:42,2025-06-28 18:58:38.619243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215154914_0105_D_000112.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.684136,2024-12-17 11:01:03,2025-06-28 18:58:38.619243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215155433_0107_D_000203.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.580136,2024-12-17 11:00:33,2025-06-28 18:58:38.619243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215161354_0111_D_000020.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.616136,2024-12-17 11:00:41,2025-06-28 18:58:38.619243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215160828_0110_D_000018.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.124136,2024-12-17 11:00:42,2025-06-28 18:58:38.619243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160306_0109_D_000042.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.816136,2024-12-17 11:01:04,2025-06-28 18:58:38.619243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215160828_0110_D_000148.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.816136,2024-12-17 11:00:15,2025-06-28 18:58:38.619243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215154914_0105_D_000041.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.280136,2024-12-17 11:01:30,2025-06-28 18:58:38.619243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215155433_0107_D_000141.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.236136,2024-12-17 11:01:02,2025-06-28 18:58:38.619243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000123.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.644136,2024-12-17 11:00:21,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000150.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.832136,2024-12-17 11:00:16,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215154914_0105_D_000118.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.716136,2024-12-17 11:01:06,2025-06-28 18:58:38.623243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215160828_0110_D_000152.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.844136,2024-12-17 11:00:17,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215154914_0105_D_000140.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.840136,2024-12-17 11:00:51,2025-06-28 18:58:38.623243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215160828_0110_D_000192.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.104136,2024-12-17 11:00:01,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000006.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.320136,2024-12-17 11:01:46,2025-06-28 18:58:38.623243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000210.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.208136,2024-12-17 10:59:57,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000136.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.208136,2024-12-17 11:00:52,2025-06-28 18:58:38.623243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000027.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.168136,2024-12-17 11:00:44,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000091.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.444136,2024-12-17 11:00:24,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231217154545_0111_D_000309.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:05.024136,2024-11-02 16:42:20,2025-06-28 18:58:38.623243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215154914_0105_D_000162.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.884136,2024-12-17 11:00:42,2025-06-28 18:58:38.623243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215154914_0105_D_000081.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.512136,2024-12-17 11:01:14,2025-06-28 18:58:38.623243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215155242_0106_D_000058.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.128136,2024-12-17 11:01:32,2025-06-28 18:58:38.623243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215160828_0110_D_000221.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.272136,2024-12-17 10:59:58,2025-06-28 18:58:38.623243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155242_0106_D_000071.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.208136,2024-12-17 11:01:20,2025-06-28 18:58:38.627243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215155433_0107_D_000150.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.288136,2024-12-17 11:00:50,2025-06-28 18:58:38.627243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215155242_0106_D_000011.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.900136,2024-12-17 11:01:43,2025-06-28 18:58:38.627243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215154914_0105_D_000033.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.196136,2024-12-17 11:01:33,2025-06-28 18:58:38.627243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231217154545_0111_D_000144.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.280136,2024-11-02 16:33:48,2025-06-28 18:58:38.627243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160828_0110_D_000006.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.068136,2024-12-17 11:00:46,2025-06-28 18:58:38.627243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160306_0109_D_000026.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.732136,2024-12-17 11:01:07,2025-06-28 18:58:38.627243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215160828_0110_D_000029.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.180136,2024-12-17 11:00:45,2025-06-28 18:58:38.627243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000172.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.416136,2024-12-17 11:00:41,2025-06-28 18:58:38.627243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215154914_0105_D_000031.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.184136,2024-12-17 11:01:36,2025-06-28 18:58:38.627243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215160828_0110_D_000007.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.076136,2024-12-17 11:00:47,2025-06-28 18:58:38.627243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000185.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.056136,2024-12-17 11:00:04,2025-06-28 18:58:38.627243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000176.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.440136,2024-12-17 11:00:48,2025-06-28 18:58:38.627243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000179.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.016136,2024-12-17 11:00:06,2025-06-28 18:58:38.627243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160306_0109_D_000022.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.712136,2024-12-17 11:01:08,2025-06-28 18:58:38.631243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215161354_0111_D_000015.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.584136,2024-12-17 11:00:39,2025-06-28 18:58:38.631243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215155242_0106_D_000013.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.908136,2024-12-17 11:01:42,2025-06-28 18:58:38.631243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215155433_0107_D_000098.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.976136,2024-12-17 11:01:09,2025-06-28 18:58:38.631243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215155433_0107_D_000110.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.052136,2024-12-17 11:01:05,2025-06-28 18:58:38.631243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215155433_0107_D_000117.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.096136,2024-12-17 11:01:07,2025-06-28 18:58:38.631243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215155433_0107_D_000192.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.528136,2024-12-17 11:00:35,2025-06-28 18:58:38.631243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231217154545_0111_D_000321.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:05.100136,2024-11-02 16:42:48,2025-06-28 18:58:38.631243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215155433_0107_D_000075.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.824136,2024-12-17 11:01:18,2025-06-28 18:58:38.631243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215154914_0105_D_000040.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.264136,2024-12-17 11:01:31,2025-06-28 18:58:38.631243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231217154545_0111_D_000214.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.680136,2024-11-02 16:37:50,2025-06-28 18:58:38.631243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215161354_0111_D_000054.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.816136,2024-12-17 11:00:17,2025-06-28 18:58:38.631243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215160828_0110_D_000113.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.572136,2024-12-17 11:00:22,2025-06-28 18:58:38.635243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000197.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.132136,2024-12-17 11:00:03,2025-06-28 18:58:38.635243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155242_0106_D_000038.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.060136,2024-12-17 11:01:33,2025-06-28 18:58:38.635243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231217154545_0111_D_000181.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.500136,2024-11-02 16:36:02,2025-06-28 18:58:38.635243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160306_0109_D_000014.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.668136,2024-12-17 11:01:12,2025-06-28 18:58:38.635243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215154914_0105_D_000045.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.300136,2024-12-17 11:01:31,2025-06-28 18:58:38.635243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215154914_0105_D_000071.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.460136,2024-12-17 11:01:17,2025-06-28 18:58:38.635243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215160828_0110_D_000115.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.588136,2024-12-17 11:00:22,2025-06-28 18:58:38.635243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215154914_0105_D_000093.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.576136,2024-12-17 11:01:10,2025-06-28 18:58:38.635243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231215155433_0107_D_000095.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.956136,2024-12-17 11:01:12,2025-06-28 18:58:38.635243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000149.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.824136,2024-12-17 11:00:14,2025-06-28 18:58:38.635243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
